epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
19,75.4015,0.89834,1.15958,1.25349,0.82319,0.84275,0.89662,0.6875,0.88609,1.14904,1.26409,0.0008045,0.0008045,0.0008045
20,78.753,0.87853,1.12167,1.2242,0.70609,0.83575,0.83772,0.67013,0.91552,1.20139,1.31629,0.00077975,0.00077975,0.00077975
21,82.8437,0.88771,1.08629,1.19272,0.81023,0.77514,0.80188,0.663,0.94942,1.18121,1.32358,0.000755,0.000755,0.000755
22,86.7182,0.79625,1.00565,1.16566,0.74596,0.76991,0.82678,0.68876,0.88283,1.35589,1.28574,0.00073025,0.00073025,0.00073025
23,90.7463,0.86505,1.05878,1.21957,0.82794,0.87292,0.84009,0.6939,0.91558,1.08634,1.36318,0.0007055,0.0007055,0.0007055
24,94.4472,0.8628,1.07411,1.22197,0.8712,0.7875,0.83393,0.71547,0.81268,1.00758,1.25973,0.00068075,0.00068075,0.00068075
25,98.1505,0.81251,0.98245,1.19644,0.91312,0.7875,0.82336,0.73171,0.74582,0.95178,1.23415,0.000656,0.000656,0.000656
26,101.739,0.79578,0.97663,1.16254,0.80808,0.89869,0.86258,0.76452,0.75936,0.82425,1.22961,0.00063125,0.00063125,0.00063125
27,105.174,0.79671,0.93046,1.16784,0.87794,0.81875,0.8543,0.75257,0.78308,0.82221,1.2296,0.0006065,0.0006065,0.0006065
28,108.758,0.73848,0.9533,1.14702,0.80874,0.87377,0.87184,0.74944,0.85155,0.81022,1.2915,0.00058175,0.00058175,0.00058175
29,112.316,0.77133,0.89455,1.13861,0.86554,0.84575,0.88044,0.7694,0.72219,0.80568,1.1966,0.000557,0.000557,0.000557
30,115.767,0.74876,0.8571,1.13085,0.88719,0.84868,0.90018,0.77374,0.7355,0.83912,1.17443,0.00053225,0.00053225,0.00053225
31,119.219,0.75622,0.86404,1.13944,0.9293,0.85,0.93772,0.76263,0.76771,0.80933,1.21999,0.0005075,0.0005075,0.0005075
32,122.845,0.74351,0.84984,1.13421,0.87884,0.81875,0.85525,0.71367,0.79271,0.7371,1.28034,0.00048275,0.00048275,0.00048275
33,127.012,0.78879,0.90323,1.15298,0.76768,0.88125,0.83992,0.73031,0.78657,0.74427,1.24586,0.000458,0.000458,0.000458
34,131.104,0.77426,0.88502,1.14508,0.81294,0.81497,0.83208,0.74052,0.64138,0.7912,1.13545,0.00043325,0.00043325,0.00043325
35,135.074,0.76635,0.92055,1.14258,0.82228,0.81289,0.85622,0.72103,0.7542,0.73528,1.2206,0.0004085,0.0004085,0.0004085
36,139.833,0.73712,0.82215,1.11743,0.85373,0.81432,0.85902,0.72144,0.72609,0.69336,1.19831,0.00038375,0.00038375,0.00038375
37,143.639,0.68506,0.79163,1.0819,0.79384,0.88125,0.86417,0.74281,0.70858,0.70163,1.18007,0.000359,0.000359,0.000359
38,147.616,0.72764,0.86875,1.12185,0.88119,0.85,0.87872,0.76905,0.70713,0.65754,1.19456,0.00033425,0.00033425,0.00033425
39,151.752,0.70564,0.85462,1.10971,0.88437,0.85,0.8768,0.74914,0.77852,0.72111,1.23393,0.0003095,0.0003095,0.0003095
40,155.712,0.67186,0.8255,1.08744,0.84894,0.85,0.8757,0.79121,0.61352,0.69778,1.12163,0.00028475,0.00028475,0.00028475
41,257.985,0.54964,0.93118,1.0553,0.91015,0.84562,0.90165,0.77682,0.59626,0.7229,1.11158,0.00026,0.00026,0.00026
42,261.786,0.53413,0.89539,1.04216,0.79975,0.94375,0.94029,0.78821,0.63122,0.78348,1.12746,0.00023525,0.00023525,0.00023525
43,265.434,0.52523,0.88658,1.03932,0.80193,0.9125,0.87497,0.77975,0.60459,0.71988,1.10329,0.0002105,0.0002105,0.0002105
44,270.499,0.51265,0.81885,1.01737,0.82079,0.93462,0.87798,0.77627,0.60345,0.71104,1.09706,0.00018575,0.00018575,0.00018575
45,274.374,0.51871,0.81191,1.02564,0.7978,0.93355,0.87322,0.77978,0.55131,0.68407,1.07166,0.000161,0.000161,0.000161
46,278.117,0.48053,0.78588,0.98274,0.88632,0.85894,0.8757,0.76573,0.55418,0.68124,1.0604,0.00013625,0.00013625,0.00013625
47,281.696,0.48898,0.7892,1.00534,0.88657,0.86074,0.88237,0.78063,0.53198,0.67964,1.04988,0.0001115,0.0001115,0.0001115
48,285.384,0.47517,0.79368,1.00335,0.87605,0.85815,0.88238,0.80319,0.53297,0.66686,1.06046,8.675e-05,8.675e-05,8.675e-05
49,288.901,0.45186,0.75272,0.9625,0.87312,0.86059,0.88959,0.80593,0.52508,0.63725,1.06337,6.2e-05,6.2e-05,6.2e-05
50,292.742,0.45434,0.76421,0.95957,0.81937,0.9342,0.87989,0.80495,0.52661,0.60519,1.07099,3.725e-05,3.725e-05,3.725e-05
