epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.1053,1.24073,3.50693,1.5529,0.00436,0.94375,0.51713,0.45385,0.8584,3.41839,1.28514,0.0001625,0.0001625,0.0001625
2,11.9106,1.03191,2.8397,1.38244,0.00823,0.9125,0.60353,0.52975,0.8847,3.35394,1.36089,0.000330818,0.000330818,0.000330818
3,15.5234,1.08504,2.32137,1.44111,0.00698,0.85,0.61719,0.51599,0.93012,3.15738,1.32584,0.000492205,0.000492205,0.000492205
4,18.9438,1.05949,2.01637,1.37792,0.15856,0.84375,0.68988,0.58229,0.869,2.95508,1.30895,0.000646662,0.000646662,0.000646662
5,24.1515,1.06037,1.89223,1.37737,0.91371,0.53977,0.82564,0.61532,0.9726,2.49157,1.40126,0.00079419,0.00079419,0.00079419
6,29.0109,1.05058,1.78512,1.37569,0.7583,0.65399,0.62164,0.47525,1.20139,2.46493,1.63023,0.000934788,0.000934788,0.000934788
7,33.0909,1.03029,1.66781,1.33078,0.64025,0.57225,0.71537,0.53141,1.20282,2.36309,1.56713,0.00106846,0.00106846,0.00106846
8,37.4853,1.05507,1.57269,1.34375,0.6618,0.67034,0.76708,0.45916,1.45586,2.37697,1.90351,0.00107675,0.00107675,0.00107675
9,41.634,1.01659,1.45086,1.32153,0.51466,0.70625,0.7532,0.58702,1.13024,2.31684,1.5309,0.001052,0.001052,0.001052
10,44.9593,1.01261,1.4756,1.30891,0.54479,0.6152,0.71822,0.5751,1.19386,2.09456,1.53614,0.00102725,0.00102725,0.00102725
11,48.2741,0.99382,1.46565,1.30927,0.42088,0.6625,0.58937,0.47642,1.1072,2.0351,1.46825,0.0010025,0.0010025,0.0010025
12,51.541,1.01953,1.43173,1.31157,0.9431,0.72309,0.79266,0.63415,1.03695,1.59775,1.39729,0.00097775,0.00097775,0.00097775
13,54.8038,0.95929,1.36941,1.26315,0.90393,0.66558,0.78673,0.64499,1.12232,1.76483,1.47922,0.000953,0.000953,0.000953
14,58.1751,0.95166,1.34807,1.25619,0.95021,0.675,0.76868,0.62644,1.02278,1.554,1.40802,0.00092825,0.00092825,0.00092825
15,61.5775,0.89349,1.1854,1.20687,0.92773,0.72472,0.80759,0.68093,0.93425,1.41953,1.3136,0.0009035,0.0009035,0.0009035
16,64.9386,0.96057,1.2771,1.2889,0.7313,0.7875,0.80482,0.62725,0.99214,1.44875,1.35139,0.00087875,0.00087875,0.00087875
17,68.4192,0.94951,1.2695,1.25791,0.71239,0.86847,0.81474,0.68872,0.88664,1.27442,1.26645,0.000854,0.000854,0.000854
18,71.9161,0.91809,1.1677,1.23858,0.69135,0.7875,0.7814,0.67138,0.844,1.18149,1.32506,0.00082925,0.00082925,0.00082925
